Time,X-Position Left Eye,Y-Position Left Eye,Events in the trial,X-Position Rigth Eye,Y-Position Rigth Eye,Saccades,Pupilsize,Blinks
595,960.400024414062,926.799987792969,0,991.400024414062,917.099975585938,0,1207,0
596,960.900024414062,927.400024414062,0,991.200012207031,916.799987792969,0,1208,0
597,962.099975585938,927.900024414062,0,991.099975585938,917,0,1211,0
598,963,927.900024414062,0,991.099975585938,917.799987792969,0,1213,0
599,963.400024414062,927.900024414062,0,991.099975585938,918.700012207031,0,1216,0
600,962.700012207031,927.900024414062,0,991.200012207031,919.299987792969,0,1215,0
601,962,927.900024414062,0,991.299987792969,919.599975585938,0,1213,0
602,961.599975585938,928.299987792969,0,991.400024414062,919.700012207031,0,1212,0
603,961.599975585938,928.700012207031,0,991.400024414062,919.700012207031,0,1212,0
604,961.400024414062,928.700012207031,0,991.400024414062,919.599975585938,0,1212,0
605,961.099975585938,928.299987792969,0,991.299987792969,919.599975585938,0,1213,0
606,960.799987792969,928,0,991.299987792969,919.599975585938,0,1214,0
607,960.700012207031,927.599975585938,0,991.400024414062,919.700012207031,0,1216,0
608,960.599975585938,927.299987792969,0,991.5,919.700012207031,0,1216,0
609,959.900024414062,926.099975585938,0,991.5,919.599975585938,0,1216,0
610,959.299987792969,925.099975585938,0,991.5,919.5,0,1216,0
611,958.599975585938,924.099975585938,0,991.5,919.700012207031,0,1217,0
612,958.400024414062,924,0,991.400024414062,919.799987792969,0,1217,0
613,958.400024414062,924.599975585938,0,991.299987792969,919.900024414062,0,1217,0
614,958.700012207031,925.400024414062,0,990.700012207031,919.700012207031,0,1216,0
615,959.099975585938,925.799987792969,0,990.099975585938,919.5,0,1217,0
616,958.599975585938,925.299987792969,0,989.799987792969,919.400024414062,0,1217,0
617,957.700012207031,924.900024414062,0,990.200012207031,919.200012207031,0,1220,0
618,956.799987792969,925,0,990.700012207031,919,0,1222,0
619,956.5,925.200012207031,0,990.799987792969,918.900024414062,0,1223,0
620,956,925.5,0,990.799987792969,918.900024414062,0,1222,0
621,955.5,926,0,990.599975585938,918.900024414062,0,1221,0
622,955.099975585938,926.200012207031,0,990.400024414062,918.900024414062,0,1220,0
623,955,925.900024414062,0,990.5,918.900024414062,0,1220,0
624,954.700012207031,925,0,991.099975585938,919,0,1220,0
625,954.299987792969,923.900024414062,0,991.599975585938,918.099975585938,0,1220,0
626,954.299987792969,923.099975585938,0,992,917.200012207031,0,1221,0
627,954.5,923.099975585938,0,991.799987792969,916.200012207031,0,1221,0
628,954.799987792969,924,0,991.599975585938,916.200012207031,0,1220,0
629,955,924.799987792969,0,991.400024414062,916.099975585938,0,1221,0
630,954.400024414062,924.400024414062,0,990.799987792969,916,0,1222,0
631,953.700012207031,923.700012207031,0,990.400024414062,915.900024414062,0,1223,0
632,953.400024414062,923.599975585938,0,989.900024414062,916.099975585938,0,1223,0
633,954.299987792969,924.200012207031,0,989.900024414062,916.299987792969,0,1223,0
634,955.200012207031,924.900024414062,0,989.799987792969,916.400024414062,0,1223,0
635,955.400024414062,924.900024414062,0,989.900024414062,916.299987792969,0,1224,0
636,955.200012207031,924.900024414062,0,990,916.5,0,1224,0
637,955,925,0,990.099975585938,916.5,0,1224,0
638,955,925.099975585938,0,990.200012207031,916.5,0,1225,0
639,955.099975585938,925.200012207031,0,990.599975585938,916.400024414062,0,1225,0
640,955,925.299987792969,0,991,916.400024414062,0,1225,0
641,954.799987792969,925.299987792969,0,991.400024414062,916.400024414062,0,1224,0
642,954.400024414062,925.299987792969,0,991.700012207031,916.299987792969,0,1225,0
643,954,925.099975585938,0,991.900024414062,916.599975585938,0,1225,0
644,953.599975585938,924.5,0,992.200012207031,916.900024414062,0,1226,0
645,953.299987792969,924,0,992.299987792969,917.200012207031,0,1227,0
646,953.799987792969,923.700012207031,0,992.299987792969,916.599975585938,0,1228,0
647,954.400024414062,923.900024414062,0,992.200012207031,916.099975585938,0,1228,0
648,955,924.099975585938,0,992.700012207031,916,0,1228,0
649,954.799987792969,924,0,993.200012207031,916.400024414062,0,1228,0
650,954.599975585938,924.099975585938,0,993.799987792969,917,0,1229,0
651,954.5,924.5,0,993.599975585938,917,0,1230,0
652,954.599975585938,925,0,993.400024414062,916.900024414062,0,1230,0
653,954.599975585938,925.299987792969,0,993.299987792969,916.5,0,1230,0
654,954.599975585938,925.299987792969,0,993.5,915.799987792969,0,1230,0
655,954.400024414062,925.299987792969,0,993.700012207031,915,0,1231,0
656,954.299987792969,925.299987792969,0,993.400024414062,914.299987792969,0,1230,0
657,954.200012207031,925.299987792969,0,992.799987792969,914.599975585938,0,1229,0
658,954.700012207031,924.799987792969,0,992.400024414062,915.200012207031,0,1229,0
659,955.900024414062,924.400024414062,0,992.5,915.700012207031,0,1230,0
660,957.099975585938,924.200012207031,0,992.700012207031,915.599975585938,0,1231,0
661,957.200012207031,924.400024414062,0,992.900024414062,915.599975585938,0,1231,0
662,956.5,924.5,0,993.5,916.5,0,1231,0
663,956,924.599975585938,0,994,917.5,0,1231,0
664,956.200012207031,924.700012207031,0,994.400024414062,918.200012207031,0,1230,0
665,955.599975585938,924.5,0,994.599975585938,917.5,0,1230,0
666,954.599975585938,924.200012207031,0,994.799987792969,916.799987792969,0,1230,0
667,953.599975585938,923.900024414062,0,994.900024414062,916.299987792969,0,1231,0
668,954.200012207031,924.099975585938,0,994.799987792969,916.5,0,1231,0
669,955.099975585938,924.599975585938,0,994.400024414062,916.599975585938,0,1234,0
670,956,925.099975585938,0,994.299987792969,916.799987792969,0,1236,0
671,956,925.400024414062,0,994.400024414062,917.599975585938,0,1237,0
672,956.099975585938,925.5,0,994.799987792969,918.5,0,1236,0
673,956.299987792969,925.599975585938,0,995.299987792969,919.299987792969,0,1235,0
674,957.200012207031,925.799987792969,0,995.299987792969,918.900024414062,0,1235,0
675,958,926.099975585938,0,994.799987792969,918.5,0,1235,0
676,958.700012207031,926.799987792969,0,994.900024414062,918.099975585938,0,1236,0
677,958.700012207031,927.400024414062,0,995.400024414062,917.599975585938,0,1237,0
678,958.599975585938,927.599975585938,0,996.200012207031,917,0,1238,0
679,958.5,927.200012207031,0,996.599975585938,916.400024414062,0,1239,0
680,958.099975585938,926.900024414062,0,997.200012207031,916.599975585938,0,1239,0
681,957.099975585938,926.900024414062,0,997.5,916.799987792969,0,1239,0
682,956.099975585938,926.799987792969,0,997.5,917,0,1240,0
683,956,926.799987792969,0,997.400024414062,916.799987792969,0,1239,0
684,956.700012207031,927,0,997.299987792969,916.599975585938,0,1237,0
685,957.400024414062,927.200012207031,0,997.5,916.200012207031,0,1235,0
686,957.400024414062,927.299987792969,0,997.799987792969,916.299987792969,0,1235,0
687,957.299987792969,927,0,998.200012207031,916.400024414062,0,1236,0
688,957.200012207031,927.200012207031,0,998.200012207031,916.599975585938,0,1238,0
689,957.200012207031,927.5,0,998.400024414062,916.799987792969,0,1241,0
690,957.200012207031,927.700012207031,0,998.700012207031,917.099975585938,0,1241,0
691,957.299987792969,927.5,0,998.900024414062,917.599975585938,0,1242,0
